Country,2000,2010,2015,2016,2017,2018,2019,2020
American Samoa,14.8727,14.9884,14.9884,14.9884,14.9884,14.9884,14.9884,14.9884
Angola,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),7.4911,16.8414,22.1411,22.6452,23.1398,23.1398,23.1398,23.1398
Brazil,1.835,4.7005,6.2799,7.2696,7.2696,8.1931,8.501,8.9627
Cameroon,53.3358,53.3358,53.3358,55.3743,58.9667,59.2516,59.3001,59.9293
Central African Republic,0.8507,2.9706,16.5412,16.5412,16.5412,16.8263,16.8263,16.8263
Colombia,15.1713,29.1928,40.107,42.5714,43.949,43.949,43.949,43.949
Comoros,NaN,16.8328,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,NaN,NaN,36.0284,36.5828,37.1371,36.4744,37.0257,37.58
C̫te d'Ivoire,87.4954,71.6731,63.762,62.1796,60.5974,59.0153,57.4329,55.8508
Cuba,41.2346,56.1652,61.407,62.7544,62.924,66.6677,73.2032,80.5242
Democratic Republic of the Congo,NaN,NaN,NaN,NaN,NaN,8.1383,8.1383,8.1383
Dominica,44.7044,44.7044,44.7044,44.7044,44.7044,44.7044,44.7044,44.7044
Dominican Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ecuador,32.7427,43.0858,44.2939,44.4113,44.4979,37.7432,44.9219,44.7575
El Salvador,NaN,NaN,0.028,0.028,0.0495,0.0544,0.0544,0.0544
Equatorial Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,28.8682,29.5846,45.6083,45.6083,45.6083,45.6083,50.869,50.869
Ghana,15.3799,28.5522,25.2529,25.2529,25.2529,25.2529,25.2529,25.2529
Grenada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guatemala,0.1255,0.0948,0.1617,0.0976,0.0892,0.0892,0.0892,0.0892
Guinea,3.7878,3.7878,3.7878,3.7878,3.7878,3.7878,3.7878,3.7878
Guyana,90.8546,86.1746,86.1258,84.4304,84.4304,84.4304,84.4304,84.4304
Haiti,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Honduras,NaN,NaN,NaN,NaN,10.8546,12.2547,12.2817,NaN
India,74.8602,74.9675,74.4833,74.4833,74.7614,74.7614,74.7614,74.7614
Indonesia,19.0959,21.9946,23.2654,23.2668,23.2656,23.2656,23.2656,23.2656
Jamaica,17.0956,18.8775,18.9087,18.9139,18.9208,18.9277,18.9329,18.9398
Liberia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Malaysia,45.6617,47.199,53.7595,53.5436,53.7967,54.0497,54.3028,54.5558
Mexico,2.6509,3.6487,12.5163,6.7682,7.0847,NaN,NaN,NaN
Micronesia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nicaragua,0.5607,0.4003,0.4018,0.1983,0.4555,0.5011,0.5011,0.5011
Nigeria,38.047,26.876,20.2529,18.3777,16.5025,14.6273,12.7521,10.8768
Panama,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,13.9791,13.9791,13.9791,13.9791,13.9791,13.9791,13.9791,13.9791
Peru,5.484,10.9366,11.5623,11.5664,11.9176,12.2646,NaN,NaN
Philippines,16.5076,16.4142,17.2681,17.4387,17.6095,17.7803,17.951,18.1218
Saint Lucia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saint Vincent and the Grenadines,15.8725,15.8725,15.8725,15.8725,15.8725,15.8725,15.8725,15.8725
Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sao Tome and Principe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sierra Leone,NaN,NaN,2.8479,2.8479,2.8479,2.8479,2.8479,2.8479
Solomon Islands,NaN,NaN,NaN,NaN,98.4636,NaN,NaN,NaN
Sri Lanka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suriname,26.0798,29.0552,29.0053,27.3062,25.8409,27.1214,28.4018,29.6823
Thailand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Timor-Leste,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Togo,NaN,NaN,0.2867,0.2867,7.1859,7.1859,NaN,NaN
Trinidad and Tobago,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Uganda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
United Republic of Tanzania,4.4292,4.4292,4.4292,4.4292,4.4292,4.4292,4.4292,4.4292
Vanuatu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Venezuela (Bolivarian Republic of),26.4918,26.4918,26.4918,26.4918,26.4918,26.4918,26.4918,26.4918